Brand,Model,Processor,Ram,SSD,Price,Display
Lenovo,Ultra,Intel Core,16 GB,1 TB,110999,40.64 cm
Acer,Aspire,AMD Ryzen,8 GB,256 GB,38990,39.62 cm
Neopticon,BrowseBook,Intel Celeron,4 GB,256 GB,19590,35.81 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,49990,35.56 cm
ASUS,ROG,Intel Core,32 GB,2 TB,499990,40.64 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,44990,39.62 cm
HP,Victus,Intel Core,16 GB,512 GB,94990,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,71500,39.62 cm
Acer,Aspire,Intel Celeron,12 GB,512 GB,38990,35.56 cm
Acer,Aspire,AMD Ryzen,16 GB,512 GB,56990,39.62 cm
Acer,Aspire,Intel Core,16 GB,512 GB,51990,39.62 cm
Acer,Aspire,AMD Ryzen,8 GB,512 GB,45990,39.62 cm
Acer,One,AMD Ryzen,8 GB,256 GB,41899,39.62 cm
HP,15,AMD Athlon,8 GB,256 GB,46746,39.62 cm
Neopticon,Ebook,Intel Celeron,4 GB,128 GB,14515,29.46 cm
Acer,Acer,AMD Ryzen,8 GB,512 GB,45820,35.56 cm
HP,AMD,AMD Ryzen,16 GB,512 GB,54290,39.62 cm
Acer,Aspire,Intel Core,8 GB,256 GB,47990,35.56 cm
ASUS,Vivobook,AMD Ryzen,8 GB,512 GB,54990,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,80990,40.64 cm
Lenovo,V15,AMD Ryzen,16 GB,512 GB,59955,39.62 cm
Acer,Aspire,Intel Core,16 GB,512 GB,49900,39.62 cm
HP,MS,Intel Core,16 GB,512 GB,67990,39.62 cm
Samsung,Galaxy,Intel Core,16 GB,512 GB,74990,39.62 cm
Acer,Intel,Intel Celeron,8 GB,128 GB,28990,29.46 cm
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,73990,38.86 cm
ASUS,Expertbook,Intel Core,32 GB,512 GB,83990,39.62 cm
Acer,One,AMD Ryzen,8 GB,256 GB,39990,35.56 cm
Acer,Aspire,Intel Pentium,12 GB,512 GB,43990,39.62 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,52990,39.62 cm
Acer,Aspire,AMD Ryzen,8 GB,256 GB,43990,39.62 cm
HP,Intel,Intel Core,16 GB,512 GB,99000,39.62 cm
HP,Intel,Intel Core,8 GB,512 GB,54990,39.62 cm
Acer,Aspire,Intel Core,16 GB,512 GB,49990,35.56 cm
Acer,Aspire,Intel Celeron,8 GB,256 GB,33755,29.46 cm
Acer,Aspire,Intel Core,16 GB,512 GB,59990,39.62 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,56990,39.62 cm
Lenovo,Yoga,Intel Core,32 GB,1 TB,115990,35.56 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,80831,35.56 cm
