Name,Price,Ram,System,SSD,Processor,Display
Lenovo Ultra 5 225U Intel Core Ultra 5 225U - (16 GB/1 TB SSD/Windows 11 Home) 21SKA0FTIG Laptop,"₹1,10,999",16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,Intel Core Ultra 5 Processor,40.64 cm (16 inch) Display
Acer Aspire Lite AMD Ryzen 3 Quad Core 5400U - (8 GB/256 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,"₹38,990",8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,AMD Ryzen 3 Quad Core Processor,39.62 cm (15.6 Inch) Display
Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) BBN40425614 Lap...,"₹19,590",4 GB LPDDR4 RAM,64 bit Windows 11 Home Operating System,256 GB SSD,Intel Celeron Dual Core Processor,35.81 cm (14.1 Inch) Display
Ultimus Pro Intel Celeron Dual Core N4020 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3INC43BN C...,"₹15,399",4 GB DDR4 RAM,Windows 11 Operating System,,Intel Celeron Dual Core Processor,35.81 cm (14.1 Inch) Display
ASUS Vivobook 14 (2026) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1404VA-EB192...,"₹49,990",8 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core i3 Processor (13th Gen),35.56 cm (14 inch) Display
ASUS ROG Zephyrus G16 OLED (2026) Intel Core Ultra 9 386H - (32 GB/2 TB SSD/Windows 11 Home/12 GB Grap...,"₹4,99,990",32 GB LPDDR5X RAM,Windows 11 Home Operating System,2 TB SSD,Intel Core Ultra 9 Processor,40.64 cm (16 inch) Display
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,"₹44,990",8 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core i3 Processor (13th Gen),39.62 cm (15.6 Inch) Display
HP Victus (i5 14th Gen) Intel Core 5 210 H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,"₹94,990",16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,Intel Core 5 Processor,39.62 cm (15.6 inch) Display
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...","₹71,500",16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core 5 Processor,39.62 cm (15.6 Inch) Display
Acer Chromebook MediaTek Kompanio 540 - (4 GB/128 GB EMMC Storage/Chrome OS) CB315-8H Chromebook,"₹34,900",4 GB LPDDR5X RAM,64 bit Chrome Operating System,,MediaTek MediaTek Kompanio 540 Processor,39.62 cm (15.6 inch) Display
Acer Aspire One Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A114-45 Notebook,"₹38,990",12 GB LPDDR4X RAM,64 bit Windows 11 Home Operating System,512 GB SSD,Intel Celeron Dual Core Processor,35.56 cm (14 inch) Display
Acer Aspire 15 AMD Office 2024 + M365 Basic AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11...,"₹56,990",16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,39.62 cm (15.6 Inch) Display
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...,"₹51,990",16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,Intel Core i3 Processor (12th Gen),39.62 cm (15.6 Inch) Display
Acer Aspire Lite AMD Ryzen 3 Quad Core 5400U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,"₹45,990",8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,AMD Ryzen 3 Quad Core Processor,39.62 cm (15.6 Inch) Display
